="",="(1)",="(2)",="(3)",="(4)"
="T_USCH",="-0.19*",="",="-0.14*",=""
="",="(0.10)",="",="(0.08)",=""
="T_CHUS",="",="0.07",="",="0.11"
="",="",="(0.18)",="",="(0.08)"
="Exporter $\times$ Sector FE",="No",="No",="No",="No"
="N",="100883",="88050",="224664",="224664"
="",="(1)",="(2)",="(3)",="(4)"
="T_USCH",="-0.12",="",="-0.00",=""
="",="(0.11)",="",="(0.09)",=""
="T_CHUS",="",="-0.01",="",="0.12"
="",="",="(0.18)",="",="(0.08)"
="Exporter $\times$ Sector FE",="Yes",="Yes",="Yes",="Yes"
="N",="100882",="88050",="224664",="224664"
="",="(1)",="(2)",="(3)",="(4)"
="T_USCH",="0.31***",="",="0.20***",=""
="",="(0.10)",="",="(0.08)",=""
="T_CHUS",="",="0.01",="",="0.29***"
="",="",="(0.19)",="",="(0.08)"
="Exporter $\times$ Sector FE",="No",="No",="No",="No"
="N",="102903",="90128",="223556",="223556"
="",="(1)",="(2)",="(3)",="(4)"
="T_USCH",="0.20*",="",="0.15*",=""
="",="(0.11)",="",="(0.09)",=""
="T_CHUS",="",="-0.06",="",="0.30***"
="",="",="(0.20)",="",="(0.08)"
="Exporter $\times$ Sector FE",="Yes",="Yes",="Yes",="Yes"
="N",="102901",="90128",="223556",="223556"
